make_model,year,count,mean_price
Toyota Avensis,2005,19.0,8078.9473684210525
Toyota Avensis,2006,8.0,8549.875
Toyota Avensis,2009,15.0,11580.0
Toyota Avensis,2010,4.0,11375.0
Toyota Camry,2005,99.0,10534.777777777777
Toyota Camry,2006,53.0,10966.981132075472
Toyota Camry,2007,86.0,11505.813953488372
Toyota Camry,2008,54.0,10788.814814814816
Toyota Camry,2009,60.0,13198.333333333334
Toyota Camry,2010,111.0,12934.234234234234
Toyota Camry,2011,72.0,13006.611111111111
Toyota Camry,2012,45.0,14264.377777777778
Toyota Camry,2013,71.0,14071.830985915492
Toyota Camry,2014,15.0,14626.666666666666
Toyota Camry,2016,16.0,14584.375
Toyota Camry (Japan),2005,17.0,11141.117647058823
Toyota Corolla,2005,10.0,6237.6
Toyota Corolla,2006,16.0,7304.0
Toyota Corolla,2007,28.0,7478.214285714285
Toyota Corolla,2008,8.0,10204.875
Toyota Corolla,2009,5.0,10000.0
Toyota Corolla,2010,8.0,10862.5
Toyota Corolla,2011,18.0,11783.166666666666
Toyota Corolla,2012,9.0,12644.444444444445
Toyota Corolla,2016,5.0,14160.0
Toyota Corolla,2017,12.0,13625.0
Toyota Crown,2005,56.0,9620.875
Toyota Crown,2006,32.0,11545.6875
Toyota Crown,2007,48.0,11980.208333333334
Toyota Crown,2008,6.0,14250.0
Toyota Crown,2009,10.0,14559.9
Toyota Crown,2010,26.0,12838.461538461539
Toyota Crown Majesta,2005,10.0,11258.8
Toyota Crown Majesta,2006,9.0,9600.0
Toyota Crown Majesta,2007,9.0,9366.666666666666
Toyota Crown Majesta,2009,7.0,15000.0
Toyota Crown Majesta,2010,4.0,12625.0
Toyota Crown Majesta,2011,9.0,13000.0
Toyota Estima,2005,12.0,12066.666666666666
Toyota Estima,2006,31.0,13083.741935483871
Toyota Estima,2007,12.0,12550.0
Toyota Estima,2008,30.0,11660.0
Toyota Estima,2010,19.0,11768.421052631578
Toyota Estima,2011,12.0,11800.0
Toyota Harrier,2005,26.0,12188.461538461539
Toyota Harrier,2006,14.0,13150.0
Toyota Ist,2005,22.0,7500.0
Toyota Ist,2008,4.0,10375.0
Toyota Kluger,2005,7.0,13000.0
Toyota Mark X,2005,50.0,8007.26
Toyota Mark X,2006,18.0,7988.833333333333
Toyota Mark X,2007,8.0,7328.375
Toyota Mark X,2008,8.0,7375.0
Toyota Passo,2005,9.0,6249.555555555556
Toyota Passo,2006,13.0,5630.7692307692305
Toyota Prius,2005,24.0,8916.666666666666
Toyota Prius,2006,15.0,9874.133333333333
Toyota Prius,2007,13.0,9846.153846153846
Toyota Prius,2008,11.0,10263.636363636364
Toyota Prius,2010,23.0,11904.347826086956
Toyota Prius,2011,39.0,10884.615384615385
Toyota Prius,2012,41.0,12869.512195121952
Toyota Prius,2013,158.0,13380.367088607594
Toyota Prius,2014,50.0,13768.0
Toyota Prius,2015,105.0,14147.580952380953
Toyota Prius,2016,18.0,14383.333333333334
Toyota Prius c,2012,6.0,10800.0
Toyota Prius c,2015,5.0,12800.0
Toyota Prius c,2016,24.0,12833.333333333334
Toyota Prius c,2017,10.0,13040.0
Toyota Prius v (+),2013,26.0,12842.307692307691
Toyota Prius v (+),2015,5.0,15000.0
Toyota RAV4,2005,20.0,9575.0
Toyota RAV4,2006,31.0,12679.0
Toyota RAV4,2007,10.0,12970.0
Toyota RAV4,2008,10.0,13040.0
Toyota RAV4,2009,5.0,13900.0
Toyota Sienna,2006,5.0,14500.0
Toyota Sienna,2007,5.0,14080.0
Toyota Sienna,2008,5.0,14208.8
Toyota Vellfire,2012,4.0,12800.0
Toyota Vitz,2005,9.0,6366.555555555556
Toyota Vitz,2006,7.0,6600.0
Toyota Voxy,2005,12.0,8348.333333333334
Toyota Voxy,2010,10.0,12050.0
Toyota Windom,2005,34.0,11426.382352941177
Toyota Wish,2005,36.0,8491.083333333334
Toyota Wish,2006,4.0,11500.0
Toyota Yaris,2006,7.0,7600.0
Toyota Yaris,2008,10.0,7602.0
Toyota Yaris,2017,4.0,12125.0
Volkswagen Golf,2005,5.0,5450.0
Volkswagen Jetta,2009,12.0,7512.5
Volkswagen Jetta,2011,9.0,9422.222222222223
Volkswagen Passat,2005,8.0,5141.25
Volkswagen Passat,2008,6.0,6500.0
Volkswagen Passat,2009,9.0,7922.222222222223
Volkswagen Polo,2017,7.0,9500.0
Volkswagen Touareg,2006,4.0,11200.0
