make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date,age
Kia Optima,2015,13500,автомат,черный,седан,2.4,бензин,руль слева,113 853 км,Бишкек,https://www.mashina.kg/details/kia-optima-645688bee38c2318441728,05_07_2023,8
Subaru Legacy,2017,16900,вариатор,черный,седан,2.5,бензин,руль слева,75 000 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-645730a358e90579243310,05_07_2023,6
Honda Crosstour,2010,16700,автомат,белый,внедорожник 5 дв.,3.5,бензин,руль слева,163 500 км,Бишкек,https://www.mashina.kg/details/honda-crosstour-6457305012e72428985484,05_07_2023,13
Honda Fit Aria,2005,6500,вариатор,серый,седан,1.5,бензин,руль справа,270 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-aria-645730425ac6c970519611,05_07_2023,18
Hyundai Sonata,2018,14200,автомат,серебристый,седан,2.0,газ,руль слева,210 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64562b6d893b7656520602,05_07_2023,5
Kia K5 II Седан,2016,14800,автомат,белый,седан,2.0,газ,руль слева,165 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-645600b45f6e1322503403,05_07_2023,7
Chevrolet Spark,2011,7200,автомат,серебристый,хэтчбек 5 дв.,1.0,бензин,руль слева,128 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-spark-64572e999fac4378519958,05_07_2023,12
Hyundai Getz,2004,5323,автомат,черный,хэтчбек 5 дв.,1.3,бензин,руль слева,270 000 км,Бишкек,https://www.mashina.kg/details/hyundai-getz-64572de23f64f919872899,05_07_2023,19
Honda Fit,2003,6099,вариатор,черный,хэтчбек 5 дв.,1.3,бензин,руль справа,30 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64572d027e94d114396144,05_07_2023,20
Honda Civic,2003,6700,вариатор,серебристый,хэтчбек 5 дв.,1.7,бензин,руль справа,128 000 км,Бишкек,https://www.mashina.kg/details/honda-civic-6455519f87201984111436,05_07_2023,20
Hyundai Sonata,2018,16500,автомат,черный,седан,2.0,газ,руль слева,0 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64572cab4c51b422921489,05_07_2023,5
Honda Stepwgn,2003,10300,автомат,белый,минивэн,2.0,бензин,руль справа,200 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-64572bf82e86b122694117,05_07_2023,20
