make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date
Toyota Camry,2003 г.,$ 7 999,автомат,черный,седан,2.4,бензин,руль слева,214 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fd8346e8625729153568,09_11_2023
Toyota Camry,2014 г.,$ 13 900,автомат,серый,седан,2.5,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fed4c11affd716157124,09_11_2023
Lexus RX,2004 г.,$ 13 400,автомат,серый,внедорожник 5 дв.,3.3,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fec23f6d4a9710487290,09_11_2023
BMW 7 серии,2009 г.,$ 16 000,автомат,серый,седан,4.4,бензин,руль слева,118 000 км,Бишкек,https://www.mashina.kg/details/bmw-7-serii-64fed4973fb41555138673,09_11_2023
Honda CR-V,2008 г.,$ 13 100,автомат,золотистый,внедорожник 5 дв.,2.4,бензин,руль слева,222 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-64fed4822c7df392085725,09_11_2023
Hyundai Sonata,2018 г.,$ 13 333,автомат,белый,седан,2,газ,руль слева,123 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fe27441d7ae342830029,09_11_2023
Hyundai Sonata,2018 г.,$ 13 888,автомат,белый,седан,2,газ,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fe256ca1a01246515128,09_11_2023
Hyundai Sonata,2018 г.,$ 13 900,автомат,черный,седан,2,газ,руль слева,132 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fe22971ad3b191674728,09_11_2023
Mercedes-Benz E-класс,2004 г.,$ 9 800,автомат,серый,седан,3.2,бензин,руль слева,350 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-64fed3e01eeac972403917,09_11_2023
Kia K5 II Седан,2018 г.,$ 14 500,автомат,белый,седан,2,газ,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fed33e8f8bc052686989,09_11_2023
Hyundai Sonata,2018 г.,$ 14 500,автомат,серебристый,седан,2,газ,руль слева,145 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fed33696cf4260840213,09_11_2023
Toyota Prius,2015 г.,$ 12 500,автомат,черный,хэтчбек 5 дв.,1.8,гибрид,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64fed2e8b1a17979015933,09_11_2023
Hyundai Avante,2017 г.,$ 13 200,автомат,белый,седан,1.6,бензин / газ,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/hyundai-avante-64fed1f521c01118242824,09_11_2023
Toyota Crown,2005 г.,$ 9 800,автомат,серебристый,седан,3,бензин,руль справа,250 000 км,Бишкек,https://www.mashina.kg/details/toyota-crown-64fed158ac58c517908749,09_11_2023
Lexus RX,2005 г.,$ 15 700,вариатор,серебристый,внедорожник 5 дв.,3.3,гибрид,руль слева,190 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fda965e7947805170463,09_11_2023
Toyota Estima,2005 г.,$ 13 000,автомат,серый,минивэн,3,бензин,руль справа,,Бишкек,https://www.mashina.kg/details/toyota-estima-64fe3472a288c294239883,09_11_2023
Subaru Forester,2017 г.,$ 18 500,вариатор,белый,внедорожник 5 дв.,2.5,бензин,руль слева,52 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-64fcb9394fc34984792506,09_11_2023
Subaru Forester,2006 г.,$ 9 500,автомат,серебристый,универсал,2,бензин,руль справа,200 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-64fe2a6f81895361228611,09_11_2023
Audi A6,2003 г.,$ 6 500,автомат,серебристый,седан,2.4,бензин,руль слева,247 000 км,Бишкек,https://www.mashina.kg/details/audi-a6-64fe25ce8f26e725731775,09_11_2023
Honda CR-V,2004 г.,$ 12 000,автомат,белый,внедорожник 5 дв.,2,бензин,руль справа,283 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-64fe244487010325479887,09_11_2023
Hyundai Sonata,2017 г.,$ 14 550,автомат,серебристый,седан,2,газ,руль слева,210 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fe23c7b0912474395112,09_11_2023
Volkswagen Bora,2023 г.,$ 19 000,автомат,белый,седан,1.5,бензин,руль слева,,Бишкек,https://www.mashina.kg/details/volkswagen-bora-64fe215143e36387157414,09_11_2023
Toyota Alphard,2005 г.,$ 10 900,автомат,черный,минивэн,2.4,бензин,руль справа,173 665 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-64fe20b7cafcb245841130,09_11_2023
Kia Sorento,2016 г.,$ 19 000,автомат,белый,внедорожник 5 дв.,2,дизель,руль слева,130 000 км,Бишкек,https://www.mashina.kg/details/kia-sorento-64fe1c3ae5694108990425,09_11_2023
Subaru Legacy,2004 г.,$ 6 400,автомат,белый,седан,2,бензин,руль справа,192 500 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-64fe1a42dfb9d689558171,09_11_2023
Honda Fit,2003 г.,$ 5 886,автомат,серый,хэтчбек 5 дв.,1.5,бензин,руль справа,390 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fe1865b7059979791970,09_11_2023
Honda Fit,2008 г.,$ 8 800,автомат,черный,хэтчбек 5 дв.,1.5,бензин,руль слева,223 500 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fe183fef8e6422917009,09_11_2023
Kia K7,2017 г.,$ 19 500,автомат,черный,седан,2.4,бензин,руль слева,120 366 км,Бишкек,https://www.mashina.kg/details/kia-k7-64fd97d2578ba350302586,09_11_2023
Nissan Almera,2003 г.,$ 3 300,механика,серебристый,хэтчбек 5 дв.,1.5,бензин,руль слева,350 000 км,Бишкек,https://www.mashina.kg/details/nissan-almera-64fe1143d64f2012285641,09_11_2023
Chevrolet Lacetti,2007 г.,$ 4 868,механика,бирюзовый,универсал,1.6,бензин,руль слева,230 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-lacetti-64fe0eb5e04a0094378256,09_11_2023
Toyota Alphard,2007 г.,$ 16 000,автомат,белый,минивэн,3,бензин,руль справа,140 000 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-64fe0c8ad7e0c495197211,09_11_2023
Volkswagen Golf,2003 г.,$ 5 800,механика,серебристый,хэтчбек 5 дв.,1.4,бензин,руль слева,175 000 км,Бишкек,https://www.mashina.kg/details/volkswagen-golf-64fe0b8499619468792016,09_11_2023
Nissan Teana,2003 г.,$ 5 600,автомат,серебристый,седан,2,бензин,руль справа,321 568 км,Бишкек,https://www.mashina.kg/details/nissan-teana-64fda17ecc0e3766745649,09_11_2023
